Old URL,Page Type,Title,H1,Suggested Redirect,Status,Notes
https://psmphuket.com/property-feature/swimming-pool/page/2,archive,Swimming Pool - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/gym/page/2,archive,Gym - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park,archive,Covered Car Park - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/roof-top-poolbar/page/5,archive,Roof Top/Poolbar - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-type/penthouse-residential,archive,Penthouse - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/mountain-view,archive,Mountain View - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/kitchen,archive,Kitchen - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/balcony,archive,Balcony - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/3,archive,Kitchen - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-type/condominium/page/7,archive,Condominium - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-type/residential/page/7,archive,Residential - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/terace/page/3,archive,Terace - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/26-ceilings/page/2,archive,26' Ceilings - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/garden/page/7,archive,Garden - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/author/jum,archive,jum - Phuket Property Service,All Properties By,/properties,200,
https://psmphuket.com/property-feature/mountain-view/page/7,archive,Mountain View - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/bike-path,archive,Bike Path - Phuket Property Service,,/properties,200,
https://psmphuket.com/author/jum/page/4,archive,jum - Phuket Property Service - Page 4,All Properties By,/properties,200,
https://psmphuket.com/property-feature/private-beach,archive,Private Beach - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/garden/page/3,archive,Garden - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-status/for-rent/page/3,archive,For Rent - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-type/residential/page/8,archive,Residential - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/property-feature/2-stories/page/6,archive,2 Stories - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/author/jum/page/2,archive,jum - Phuket Property Service - Page 2,All Properties By,/properties,200,
https://psmphuket.com/property-feature/mountain-view/page/3,archive,Mountain View - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/mountain-view/page/2,archive,Mountain View - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/terace/page/5,archive,Terace - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/2,archive,For Sale - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/jacuzzi/page/4,archive,Jacuzzi - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/3,archive,For Sale - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/hurricane-shutters,archive,Hurricane Shutters - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/garden/page/6,archive,Garden - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/mountain-view/page/4,archive,Mountain View - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park/page/3,archive,Covered Car Park - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/2,archive,Balcony - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/garden/page/2,archive,Garden - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/swimming-pool/page/6,archive,Swimming Pool - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/swimming-pool/page/7,archive,Swimming Pool - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/emergency-exit/page/4,archive,Emergency Exit - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/6,archive,Fully Equipped Kitchen - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park/page/6,archive,Covered Car Park - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/mountain-view/page/6,archive,Mountain View - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/3,archive,Balcony - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/terace/page/7,archive,Terace - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/roof-top-poolbar/page/2,archive,Roof Top/Poolbar - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/fully-furnished/page/4,archive,Fully Furnished - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-type/residential/page/6,archive,Residential - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/emergency-exit/page/2,archive,Emergency Exit - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/4,archive,Kitchen - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/electric-range,archive,Electric Range - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-status/for-rent/page/7,archive,For Rent - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/2-stories/page/2,archive,2 Stories - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/5,archive,Balcony - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/8,archive,Fully Equipped Kitchen - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/6,archive,Balcony - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/parking,archive,Parking - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/parking/page/2,archive,Parking - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/home-theater,archive,Home Theater - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/living-room,archive,Living room - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/bike-path/page/2,archive,Bike Path - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/author/jum/page/5,archive,jum - Phuket Property Service - Page 5,All Properties By,/properties,200,
https://psmphuket.com/property-feature/gym/page/6,archive,Gym - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-type/apartment,archive,Apartment - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/elevator,archive,Elevator - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/26-ceilings/page/3,archive,26' Ceilings - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/bike-path/page/4,archive,Bike Path - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/5,archive,Fully Equipped Kitchen - Phuket Property Service - Page 5,,/properties,200,
